START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,HOUR,DAY,MONTH,DAYOFWEEK,DAYNAME,DURATION_MIN,SPEED
2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,14,21,1,3,Thursday,4.0,24.0
2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,14,21,1,3,Thursday,8.0,18.0
2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,16,21,1,3,Thursday,5.0,12.0
2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,10,26,1,1,Tuesday,9.0,13.333333333333334
2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,12,26,1,1,Tuesday,8.0,17.25
2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,16,26,1,1,Tuesday,8.0,14.25
2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,17,26,1,1,Tuesday,5.0,16.8
2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,17,26,1,1,Tuesday,2.0,15.0
2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,9,27,1,2,Wednesday,7.0,15.428571428571429
2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,10,27,1,2,Wednesday,29.0,38.689655172413794
2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,12,27,1,2,Wednesday,10.0,20.400000000000002
2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,14,27,1,2,Wednesday,8.0,20.25
2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,14,27,1,2,Wednesday,22.0,35.18181818181819
2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,12,28,1,3,Thursday,32.0,35.625
2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,15,28,1,3,Thursday,20.0,44.1
2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,16,28,1,3,Thursday,30.0,31.4
2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,9,29,1,4,Friday,14.0,19.71428571428571
2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,10,29,1,4,Friday,11.0,28.363636363636367
2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,Durham,10.4,Meeting,11,29,1,4,Friday,20.0,31.200000000000003
2016-01-29 13:24:00,2016-01-29 13:47:00,Business,Durham,Cary,10.1,Meeting,13,29,1,4,Friday,23.0,26.34782608695652
2016-01-29 18:31:00,2016-01-29 18:52:00,Business,Cary,Apex,5.8,Errand/Supplies,18,29,1,4,Friday,21.0,16.571428571428573
2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,Cary,5.5,Meal/Entertain,21,29,1,4,Friday,19.0,17.36842105263158
2016-01-30 16:21:00,2016-01-30 16:33:00,Business,Cary,Apex,5.7,Errand/Supplies,16,30,1,5,Saturday,12.0,28.5
2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,Cary,5.7,Customer Visit,18,30,1,5,Saturday,15.0,22.8
2016-02-01 10:35:00,2016-02-01 11:15:00,Business,Cary,Chapel Hill,19.4,Customer Visit,10,1,2,0,Monday,40.0,29.099999999999998
2016-02-01 12:10:00,2016-02-01 12:43:00,Business,Chapel Hill,Cary,23.3,Customer Visit,12,1,2,0,Monday,33.0,42.36363636363636
2016-02-01 12:56:00,2016-02-01 13:07:00,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,12,1,2,0,Monday,11.0,21.272727272727273
2016-02-02 13:04:00,2016-02-02 13:23:00,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,13,2,2,1,Tuesday,19.0,26.210526315789476
2016-02-02 13:51:00,2016-02-02 14:06:00,Business,Cary,Cary,6.0,Errand/Supplies,13,2,2,1,Tuesday,15.0,24.0
2016-02-02 14:38:00,2016-02-02 14:42:00,Business,Cary,Cary,1.6,Errand/Supplies,14,2,2,1,Tuesday,4.0,24.0
2016-02-04 08:40:00,2016-02-04 09:01:00,Business,Cary,Morrisville,5.2,Errand/Supplies,8,4,2,3,Thursday,21.0,14.85714285714286
2016-02-04 09:37:00,2016-02-04 10:09:00,Business,Morrisville,Cary,9.7,Meal/Entertain,9,4,2,3,Thursday,32.0,18.1875
2016-02-04 10:26:00,2016-02-04 10:32:00,Business,Cary,Cary,1.6,Meal/Entertain,10,4,2,3,Thursday,6.0,16.0
2016-02-04 15:59:00,2016-02-04 16:03:00,Business,Cary,Cary,1.1,Meal/Entertain,15,4,2,3,Thursday,4.0,16.5
2016-02-04 16:35:00,2016-02-04 16:39:00,Business,Cary,Cary,1.6,Meal/Entertain,16,4,2,3,Thursday,4.0,24.0
2016-02-04 18:04:00,2016-02-04 18:31:00,Business,Whitebridge,Macgregor Downs,9.0,Meeting,18,4,2,3,Thursday,27.0,20.0
2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,20,4,2,3,Thursday,19.0,24.315789473684212
2016-02-05 11:47:00,2016-02-05 12:07:00,Business,Cary,Durham,10.4,Meeting,11,5,2,4,Friday,20.0,31.200000000000003
2016-02-05 13:22:00,2016-02-05 13:41:00,Business,Durham,Cary,10.4,Meeting,13,5,2,4,Friday,19.0,32.8421052631579
2016-02-06 16:20:00,2016-02-06 16:53:00,Business,Cary,Raleigh,11.4,Between Offices,16,6,2,5,Saturday,33.0,20.727272727272727
2016-02-06 18:57:00,2016-02-06 19:21:00,Business,Raleigh,Cary,9.0,Errand/Supplies,18,6,2,5,Saturday,24.0,22.5
2016-02-06 19:28:00,2016-02-06 19:37:00,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,19,6,2,5,Saturday,9.0,21.333333333333336
2016-02-07 16:49:00,2016-02-07 17:01:00,Business,Cary,Apex,5.6,Errand/Supplies,16,7,2,6,Sunday,12.0,27.999999999999996
2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,18,7,2,6,Sunday,14.0,24.42857142857143
2016-02-07 18:39:00,2016-02-07 18:53:00,Business,Cary,Morrisville,6.1,Temporary Site,18,7,2,6,Sunday,14.0,26.142857142857142
2016-02-07 20:22:00,2016-02-07 20:40:00,Business,Morrisville,Cary,6.1,Meeting,20,7,2,6,Sunday,18.0,20.333333333333332
2016-02-08 12:57:00,2016-02-08 13:08:00,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,12,8,2,0,Monday,11.0,23.454545454545457
2016-02-08 14:00:00,2016-02-08 14:10:00,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,14,8,2,0,Monday,10.0,16.200000000000003
2016-02-09 10:54:00,2016-02-09 11:07:00,Personal,Whitebridge,Northwoods,5.3,Others,10,9,2,1,Tuesday,13.0,24.46153846153846
2016-02-09 11:43:00,2016-02-09 11:50:00,Personal,Northwoods,Tanglewood,3.0,Others,11,9,2,1,Tuesday,7.0,25.714285714285715
2016-02-09 13:36:00,2016-02-09 13:52:00,Personal,Tanglewood,Preston,5.1,Others,13,9,2,1,Tuesday,16.0,19.125
2016-02-09 13:58:00,2016-02-09 14:02:00,Personal,Preston,Whitebridge,1.5,Others,13,9,2,1,Tuesday,4.0,22.5
2016-02-09 18:55:00,2016-02-09 19:11:00,Business,Cary,Morrisville,6.1,Others,18,9,2,1,Tuesday,16.0,22.875
2016-02-09 20:24:00,2016-02-09 20:40:00,Business,Morrisville,Cary,6.1,Meal/Entertain,20,9,2,1,Tuesday,16.0,22.875
2016-02-11 16:28:00,2016-02-11 17:10:00,Business,Cary,Raleigh,17.3,Meal/Entertain,16,11,2,3,Thursday,42.0,24.714285714285715
2016-02-11 17:49:00,2016-02-11 18:10:00,Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,17,11,2,3,Thursday,21.0,16.28571428571429
2016-02-11 18:24:00,2016-02-11 18:46:00,Business,Raleigh,Morrisville,13.5,Temporary Site,18,11,2,3,Thursday,22.0,36.81818181818182
2016-02-11 20:36:00,2016-02-11 20:51:00,Business,Morrisville,Cary,6.1,Temporary Site,20,11,2,3,Thursday,15.0,24.4
2016-02-12 08:21:00,2016-02-12 08:42:00,Business,Cary,Durham,8.5,Temporary Site,8,12,2,4,Friday,21.0,24.28571428571429
2016-02-12 10:45:00,2016-02-12 10:52:00,Business,Durham,Morrisville,2.6,Temporary Site,10,12,2,4,Friday,7.0,22.285714285714285
2016-02-12 11:14:00,2016-02-12 11:35:00,Business,Morrisville,Raleigh,17.0,Customer Visit,11,12,2,4,Friday,21.0,48.57142857142858
2016-02-12 13:02:00,2016-02-12 13:36:00,Business,Raleigh,Cary,18.0,Meeting,13,12,2,4,Friday,34.0,31.764705882352942
2016-02-12 14:49:00,2016-02-12 15:06:00,Business,Cary,Morrisville,8.4,Meeting,14,12,2,4,Friday,17.0,29.647058823529413
2016-02-12 15:33:00,2016-02-12 16:06:00,Business,Morrisville,Cary,11.5,Customer Visit,15,12,2,4,Friday,33.0,20.909090909090907
2016-02-13 14:21:00,2016-02-13 14:41:00,Business,Cary,Morrisville,8.9,Meeting,14,13,2,5,Saturday,20.0,26.700000000000003
2016-02-13 23:45:00,2016-02-14 00:01:00,Personal,East Elmhurst,Jackson Heights,2.7,Others,23,13,2,5,Saturday,16.0,10.125
2016-02-14 00:50:00,2016-02-14 01:00:00,Personal,Jackson Heights,East Elmhurst,1.8,Others,0,14,2,6,Sunday,10.0,10.8
2016-02-14 14:07:00,2016-02-14 14:40:00,Business,East Elmhurst,New York,8.1,Meeting,14,14,2,6,Sunday,33.0,14.727272727272725
2016-02-14 14:46:00,2016-02-14 15:03:00,Business,Midtown,Midtown West,2.0,Meeting,14,14,2,6,Sunday,17.0,7.0588235294117645
2016-02-14 16:35:00,2016-02-14 17:02:00,Business,New York,Long Island City,13.0,Meeting,16,14,2,6,Sunday,27.0,28.88888888888889
2016-02-14 17:06:00,2016-02-14 17:29:00,Business,Long Island City,Jamaica,13.9,Meeting,17,14,2,6,Sunday,23.0,36.26086956521739
2016-02-16 03:21:00,2016-02-16 04:13:00,Business,Katunayaka,Unknown Location,43.7,Customer Visit,3,16,2,1,Tuesday,52.0,50.42307692307693
2016-02-16 08:29:00,2016-02-16 09:34:00,Business,Unknown Location,Colombo,14.1,Others,8,16,2,1,Tuesday,65.0,13.015384615384615
2016-02-16 10:31:00,2016-02-16 10:41:00,Business,Colombo,Colombo,2.6,Others,10,16,2,1,Tuesday,10.0,15.600000000000001
2016-02-16 11:32:00,2016-02-16 12:02:00,Business,Colombo,Colombo,4.5,Others,11,16,2,1,Tuesday,30.0,9.0
2016-02-16 12:39:00,2016-02-16 12:42:00,Business,Colombo,Colombo,1.7,Others,12,16,2,1,Tuesday,3.0,34.0
2016-02-16 13:43:00,2016-02-16 13:55:00,Business,Colombo,Colombo,1.8,Temporary Site,13,16,2,1,Tuesday,12.0,9.0
2016-02-16 16:34:00,2016-02-16 17:10:00,Business,Colombo,Colombo,6.0,Others,16,16,2,1,Tuesday,36.0,10.0
2016-02-16 17:17:00,2016-02-16 17:26:00,Business,Colombo,Nugegoda,1.1,Meal/Entertain,17,16,2,1,Tuesday,9.0,7.333333333333334
2016-02-16 17:40:00,2016-02-16 17:44:00,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies,17,16,2,1,Tuesday,4.0,54.0
2016-02-17 13:18:00,2016-02-17 14:04:00,Business,Unknown Location,Colombo,14.7,Temporary Site,13,17,2,2,Wednesday,46.0,19.173913043478258
2016-02-17 15:17:00,2016-02-17 15:22:00,Business,Colombo,Colombo,1.7,Meal/Entertain,15,17,2,2,Wednesday,5.0,20.400000000000002
2016-02-17 15:33:00,2016-02-17 16:17:00,Business,Colombo,Katunayaka,21.4,Temporary Site,15,17,2,2,Wednesday,44.0,29.181818181818183
2016-02-17 16:38:00,2016-02-17 16:43:00,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies,16,17,2,2,Wednesday,5.0,6.0
2016-02-18 08:19:00,2016-02-18 08:27:00,Business,Unknown Location,Unknown Location,23.5,Temporary Site,8,18,2,3,Thursday,8.0,176.25
2016-02-18 14:03:00,2016-02-18 14:45:00,Business,Unknown Location,Islamabad,12.7,Temporary Site,14,18,2,3,Thursday,42.0,18.142857142857142
2016-02-18 15:16:00,2016-02-18 15:31:00,Business,Islamabad,Unknown Location,6.0,Temporary Site,15,18,2,3,Thursday,15.0,24.0
2016-02-18 18:44:00,2016-02-18 18:58:00,Business,Unknown Location,Islamabad,5.2,Customer Visit,18,18,2,3,Thursday,14.0,22.285714285714285
2016-02-18 19:27:00,2016-02-18 20:08:00,Business,Islamabad,Unknown Location,10.0,Meeting,19,18,2,3,Thursday,41.0,14.634146341463415
2016-02-19 09:02:00,2016-02-19 09:14:00,Business,Unknown Location,Unknown Location,18.3,Meeting,9,19,2,4,Friday,12.0,91.5
2016-02-19 09:21:00,2016-02-19 09:51:00,Business,Unknown Location,Unknown Location,11.2,Meeting,9,19,2,4,Friday,30.0,22.4
2016-02-19 10:21:00,2016-02-19 10:48:00,Business,Unknown Location,Islamabad,7.6,Meeting,10,19,2,4,Friday,27.0,16.88888888888889
2016-02-19 11:20:00,2016-02-19 11:26:00,Personal,Islamabad,Islamabad,1.5,Others,11,19,2,4,Friday,6.0,15.0
2016-02-19 11:45:00,2016-02-19 11:50:00,Personal,Islamabad,Islamabad,1.0,Others,11,19,2,4,Friday,5.0,12.0
2016-02-19 12:09:00,2016-02-19 12:27:00,Business,Islamabad,Unknown Location,7.3,Temporary Site,12,19,2,4,Friday,18.0,24.333333333333332
2016-02-19 16:26:00,2016-02-19 16:45:00,Business,Unknown Location,Islamabad,3.5,Others,16,19,2,4,Friday,19.0,11.052631578947368
2016-02-19 17:09:00,2016-02-19 17:20:00,Business,Islamabad,Islamabad,4.2,Others,17,19,2,4,Friday,11.0,22.90909090909091
2016-02-19 20:08:00,2016-02-19 20:30:00,Personal,Islamabad,Unknown Location,13.6,Others,20,19,2,4,Friday,22.0,37.09090909090909
2016-02-19 20:34:00,2016-02-19 20:51:00,Personal,Unknown Location,Unknown Location,2.5,Others,20,19,2,4,Friday,17.0,8.823529411764707
2016-02-20 07:59:00,2016-02-20 08:32:00,Personal,Unknown Location,Islamabad,14.4,Others,7,20,2,5,Saturday,33.0,26.18181818181818
2016-02-20 10:48:00,2016-02-20 10:56:00,Personal,Islamabad,Islamabad,3.0,Others,10,20,2,5,Saturday,8.0,22.5
2016-02-20 11:45:00,2016-02-20 11:53:00,Personal,Islamabad,Islamabad,1.5,Others,11,20,2,5,Saturday,8.0,11.25
2016-02-20 12:41:00,2016-02-20 13:17:00,Business,Islamabad,R?walpindi,18.4,Others,12,20,2,5,Saturday,36.0,30.666666666666664
2016-02-20 14:50:00,2016-02-20 15:54:00,Business,R?walpindi,R?walpindi,23.1,Meeting,14,20,2,5,Saturday,64.0,21.65625
2016-02-20 16:59:00,2016-02-20 17:54:00,Personal,R?walpindi,Unknown Location,16.5,Others,16,20,2,5,Saturday,55.0,18.0
2016-02-20 18:00:00,2016-02-20 18:03:00,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies,18,20,2,5,Saturday,3.0,64.0
2016-02-20 19:28:00,2016-02-20 19:49:00,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies,19,20,2,5,Saturday,21.0,22.000000000000004
2016-02-21 09:07:00,2016-02-21 09:46:00,Business,Unknown Location,Islamabad,14.5,Others,9,21,2,6,Sunday,39.0,22.307692307692307
2016-02-21 11:39:00,2016-02-21 11:43:00,Business,Unknown Location,Islamabad,2.4,Errand/Supplies,11,21,2,6,Sunday,4.0,36.0
2016-02-21 11:47:00,2016-02-21 12:01:00,Business,Islamabad,Islamabad,4.6,Errand/Supplies,11,21,2,6,Sunday,14.0,19.71428571428571
2016-02-21 12:13:00,2016-02-21 12:35:00,Business,Islamabad,Unknown Location,8.8,Meal/Entertain,12,21,2,6,Sunday,22.0,24.000000000000004
2016-02-21 12:51:00,2016-02-21 13:12:00,Business,Unknown Location,Unknown Location,8.3,Temporary Site,12,21,2,6,Sunday,21.0,23.71428571428572
2016-02-21 13:33:00,2016-02-21 14:30:00,Business,Unknown Location,Unknown Location,22.7,Temporary Site,13,21,2,6,Sunday,57.0,23.894736842105264
2016-02-21 14:36:00,2016-02-21 15:03:00,Business,Unknown Location,Islamabad,13.0,Temporary Site,14,21,2,6,Sunday,27.0,28.88888888888889
2016-02-21 15:14:00,2016-02-21 15:31:00,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site,15,21,2,6,Sunday,17.0,28.588235294117645
2016-02-21 15:36:00,2016-02-21 15:41:00,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain,15,21,2,6,Sunday,5.0,26.400000000000002
2016-02-21 16:04:00,2016-02-21 16:32:00,Business,Unknown Location,Unknown Location,9.7,Others,16,21,2,6,Sunday,28.0,20.785714285714285
2016-02-21 23:15:00,2016-02-21 23:52:00,Business,Unknown Location,R?walpindi,20.0,Meeting,23,21,2,6,Sunday,37.0,32.43243243243243
2016-02-22 21:54:00,2016-02-22 22:09:00,Business,Morrisville,Cary,8.1,Customer Visit,21,22,2,0,Monday,15.0,32.4
2016-02-24 14:30:00,2016-02-24 14:35:00,Business,Whitebridge,Preston,1.5,Others,14,24,2,2,Wednesday,5.0,18.0
2016-02-24 15:19:00,2016-02-24 15:25:00,Business,Preston,Whitebridge,1.7,Errand/Supplies,15,24,2,2,Wednesday,6.0,17.0
2016-02-25 16:27:00,2016-02-25 16:35:00,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,16,25,2,3,Thursday,8.0,23.25
2016-02-25 16:47:00,2016-02-25 17:02:00,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,16,25,2,3,Thursday,15.0,12.8
2016-02-25 17:16:00,2016-02-25 17:36:00,Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,17,25,2,3,Thursday,20.0,18.0
2016-02-25 18:22:00,2016-02-25 18:39:00,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,18,25,2,3,Thursday,17.0,20.470588235294116
2016-02-26 09:06:00,2016-02-26 09:29:00,Business,Whitebridge,Westpark Place,6.3,Others,9,26,2,4,Friday,23.0,16.434782608695652
2016-02-26 11:05:00,2016-02-26 11:11:00,Personal,Westpark Place,Whitebridge,1.7,Others,11,26,2,4,Friday,6.0,17.0
2016-02-26 11:35:00,2016-02-26 11:59:00,Business,Cary,Durham,10.6,Meeting,11,26,2,4,Friday,24.0,26.499999999999996
2016-02-26 13:01:00,2016-02-26 13:24:00,Business,Durham,Cary,9.9,Meeting,13,26,2,4,Friday,23.0,25.82608695652174
2016-02-26 14:38:00,2016-02-26 14:46:00,Personal,Whitebridge,Westpark Place,1.9,Others,14,26,2,4,Friday,8.0,14.25
2016-02-26 15:00:00,2016-02-26 15:18:00,Personal,Westpark Place,Hazelwood,4.2,Others,15,26,2,4,Friday,18.0,14.000000000000002
2016-02-26 17:01:00,2016-02-26 17:12:00,Personal,Hazelwood,Whitebridge,2.0,Others,17,26,2,4,Friday,11.0,10.90909090909091
2016-02-28 05:22:00,2016-02-28 05:38:00,Business,Whitebridge,Waverly Place,7.7,Meeting,5,28,2,6,Sunday,16.0,28.875
2016-02-28 09:26:00,2016-02-28 09:42:00,Business,Waverly Place,Whitebridge,6.8,Meeting,9,28,2,6,Sunday,16.0,25.5
2016-02-29 11:07:00,2016-02-29 11:14:00,Personal,Whitebridge,Westpark Place,2.1,Others,11,29,2,0,Monday,7.0,18.0
2016-02-29 11:30:00,2016-02-29 11:40:00,Business,Cary,Apex,3.8,Meeting,11,29,2,0,Monday,10.0,22.8
2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,Cary,5.6,Meeting,12,29,2,0,Monday,12.0,27.999999999999996
2016-02-29 14:55:00,2016-02-29 15:03:00,Business,Whitebridge,Hazelwood,2.6,Others,14,29,2,0,Monday,8.0,19.5
2016-02-29 16:40:00,2016-02-29 17:00:00,Business,Hazelwood,Whitebridge,6.6,Customer Visit,16,29,2,0,Monday,20.0,19.8
2016-03-01 18:47:00,2016-03-01 19:10:00,Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,18,1,3,1,Tuesday,23.0,20.869565217391305
2016-03-01 21:27:00,2016-03-01 21:45:00,Business,Wayne Ridge,Whitebridge,8.0,Meeting,21,1,3,1,Tuesday,18.0,26.666666666666668
2016-03-03 09:45:00,2016-03-03 09:52:00,Personal,Whitebridge,Westpark Place,2.2,Others,9,3,3,3,Thursday,7.0,18.857142857142858
2016-03-03 11:04:00,2016-03-03 11:10:00,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,11,3,3,3,Thursday,6.0,22.999999999999996
2016-03-03 14:44:00,2016-03-03 14:58:00,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,14,3,3,3,Thursday,14.0,22.285714285714285
2016-03-03 15:27:00,2016-03-03 15:48:00,Business,Cary,Raleigh,7.6,Customer Visit,15,3,3,3,Thursday,21.0,21.714285714285715
2016-03-03 16:02:00,2016-03-03 16:42:00,Business,Raleigh,Cary,17.3,Meeting,16,3,3,3,Thursday,40.0,25.950000000000003
2016-03-04 07:47:00,2016-03-04 08:06:00,Business,Cary,Durham,9.9,Meeting,7,4,3,4,Friday,19.0,31.263157894736846
2016-03-04 09:46:00,2016-03-04 10:03:00,Business,Durham,Cary,9.9,Customer Visit,9,4,3,4,Friday,17.0,34.94117647058824
